圓 圆
籛 篯
橫 横
縈 萦
躕 蹰
螞 蚂
邐 逦
鮦 鲖
碭 砀
𡮣 𡭬
潷 滗
軔 轫
瀘 泸
終 终
鶥 鹛
餖 饾
嬃 媭
斃 毙
張 张
屩 𪨗
誘 诱
輇 辁
覼 𫌨
俠 侠
見 见
縷 缕
臚 胪
苧 苎
𣞻 𣘓
潔 洁
屬 属
縭 缡
淚 泪
邏 逻
䀹 𥅴
篘 𥬠
涇 泾
註 注
欓 𣗋
鷨 𪉊
麩 麸
錠 锭
銘 铭
滅 灭
魴 鲂
𧶧 䞎
錯 错
𪂆 𪉎
銀 银
𨧜 䦁
紐 纽
綢 绸
鎷 𨰾
協 协
誒 诶
競 竞
廟 庙
鐯 䦃
鉿 铪
鈐 钤
蔥 葱
閑 闲
搖 摇
棟 栋
謫 谪
讒 谗
鯴 鲺
爄 𤇃
飠 饣
紺 绀
犖 荦
紅 红
禪 禅
濾 滤
𨽏 𨸘
脈 脉
爾 尔
鈃 钘
鈦 钛
頑 顽
鎝 𨱏
繾 缱
韙 韪
絺 𫄨
綹 绺
鴕 鸵
鯗 鲞
澆 浇
轂 毂
橈 桡
漊 溇
癬 癣
證 证
鷺 鹭
險 险
𨇁 𧿈
飈 飚
氳 氲
遠 远
輝 辉
摋 𢫬
竊 窃
睏 困
畫 画
饘 𫗴
鋙 铻
擯 摈
萇 苌
㗲 𠵾
齟 龃
駟 驷
驂 骖
駧 𩧲
籠 笼
鯪 鲮
懟 怼
詵 诜
襖 袄
罌 罂
癥 症
誑 诳
鰓 鳃
資 资
蠆 虿
擼 撸
藍 蓝
勸 劝
鹽 盐
鉻 铬
鶪 䴗
瞞 瞒
階 阶
狽 狈
墜 坠
儺 傩
艤 舣
驅 驱
難 难
蔭 荫
鯧 鲳
雜 杂
鐃 铙
嚀 咛
鋦 锔
瘋 疯
㺏 𤠋
竅 窍
擣 𢭏
亂 乱
譫 谵
鵮 鹐
鈋 𨱂
韉 鞯
釔 钇
給 给
勁 劲
辮 辫
詞 词
𨶲 𨸋
𢶫 𢫞
壈 𡒄
霢 霡
賴 赖
達 达
訣 诀
熲 颎
嶢 峣
鯇 鲩
鱇 𩾌
鐦 锎
鰮 鳁
婁 娄
櫛 栉
錳 锰
鄆 郓
遜 逊
鱺 鲡
紂 纣
檻 槛
隱 隐
𩢸 𩧳
懌 怿
奼 姹
戶 户
鮣 䲟
釒 钅
鏌 镆
滎 荥
獰 狞
報 报
國 国
闥 闼
芻 刍
吒 咤
鴒 鸰
誅 诛
銜 衔
釃 酾
䥇 䦂
蘆 芦
㦎 𢛯
諱 讳
鈞 钧
獮 狝
觴 觞
纊 纩
鎡 镃
礫 砾
瀨 濑
絅 䌹
詆 诋
頹 颓
閡 阂
貨 货
餉 饷
縞 缟
簡 简
韍 韨
負 负
慫 怂
薴 苧
鸏 鹲
翽 翙
憑 凭
憂 忧
鑿 凿
絛 绦
犧 牺
頷 颔
鍈 锳
鮭 鲑
撈 捞
賕 赇
緝 缉
屍 尸
縶 絷
餓 饿
櫟 栎
鑽 钻
羥 羟
漚 沤
魥 𩽹
𩥄 𩨋
灃 沣
鎿 镎
袞 衮
䋚 䌻
進 进
懇 恳
諄 谆
閬 阆
攢 攒
飭 饬
蠶 蚕
噸 吨
鳲 鸤
瘮 瘆
諂 谄
灙 𣺼
彞 彝
諗 谂
澩 泶
諢 诨
崬 岽
劊 刽
頊 顼
嘽 啴
蝦 虾
寢 寝
訪 访
覿 觌
贃 𧹗
鴜 𪉈
筍 笋
殼 壳
鴲 𪉆
窵 窎
嶼 屿
為 为
槧 椠
潯 浔
獁 犸
䮞 𩨁
